"","Text","Data","screenName","retweetCount"
"58","@kubothemovie: How does a handmade hero become the most heartfelt motion picture of the year? #KuboMovie is now nominated for two #Acade…","2017-01-27 14:09:45","illuvitas",537
"59","@Variety: #DenzelWashington extends his record as the most #Oscar-nominated black actor https://t.co/kuHhTyLLej #OscarNoms https://t.co/…","2017-01-27 14:09:42","FilmBrandsEX",173
"60","@CinemarkChile: Mira este educativo meme y conoce las fechas de estreno de los nominados a Mejor Película aquí <ed><U+A><U+BD><ed><U+B><U+> https://t.co/TVUgjoRV…","2017-01-27 14:09:37","karina_godoy",6
"61","@Ashley_Says: @blackvoices Kimberly Steward produced a film that is nominated for six Oscars https://t.co/XuCDlzr","2017-01-27 14:09:32","anjolaoluwaxo",222
"62","@svaradarajan: Iranian actress Taraneh Alidoosti is boycotting the Oscars over Trump 'racist' visa ban https://t.co/zFHalPoDQ","2017-01-27 14:09:30","shaqueelsinai",12
"63","@ABC: Iranian star of best foreign language film nominee to boycott Oscars over Pres. Trump's immigration stance. https://t.co/jYUprGhd…","2017-01-27 14:09:29","Chagunas",176
"64","@destandaard: Iraanse actrice boycot Oscars tegen Trump https://t.co/OTnQld https://t.co/YgTMKdVa","2017-01-27 14:09:26","IngridHbn",1
"65","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:09:25","blah_x3",1962
"66","@RebelForceRadio: ABC News has a piece on RFR's interview with Carrie Fisher and her request for an Oscars tribute. https://t.co/XmqCtgm…","2017-01-27 14:09:25","ashleyval1723",2
"67","@demetrxxs: If they give La La Land best picture over Moonlight at the Oscars, ima be knuckin n buckin n ready to fight.","2017-01-27 14:09:24","TheMikeTre",2
"68","Here's the winner list #Oscars @TheAcademy #predictions <U+B><U+FEF><ed><U+A><U+BC><ed><U+BD><U+BF><ed><U+A><U+BC><ed><U+BE><U+AC>

https://t.co/OPluhPUbZ via @wochamovie","2017-01-27 14:09:19","paolorizz",0
"69","Just seen Manchester By The Sea. Best Picture # for me. Very, very good film. Not convinced it's winning any Oscars though.","2017-01-27 14:09:19","DaveBott78",0
"70","@iHrithik celebrated my bday by watching kaabil @yamigautam 
Rohan bhatnagar &amp; su u nailed it
Hats off to u
Oscars are on the way for u <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+><ed><U+A><U+BD><ed><U+B><U+D>","2017-01-27 14:09:19","Utkarsh2609",0
"71","@BreitbartNews: that
will
show
him https://t.co/aDlJFFNUc","2017-01-27 14:09:16","BDR121068",101
"72","@Salon: Why ""La La Land"" attracts haters https://t.co/eQDXQYvBe","2017-01-27 14:08:54","fegabudisatria",6
"73","I just liked “Oscars in One Minute: Production Design - ” by @artofthefilm on #Vimeo: https://t.co/TIEVfYOG","2017-01-27 14:08:36","traian73",0
"74","@yamigautam commendable performance by u
Oscars are waiting for u &amp; filmfare also 
Best performance till date
<ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D><ed><U+A><U+BD><ed><U+B><U+D>
#maiterekaabilhunya","2017-01-27 14:08:34","Utkarsh2609",0
"75","@kubothemovie: How does a handmade hero become the most heartfelt motion picture of the year? #KuboMovie is now nominated for two #Acade…","2017-01-27 14:08:27","Stoopid_Monky",537
"76","Grammys, Oscars &amp; KeKe Oh My! https://t.co/rakBYkMq https://t.co/bPcMMbKl","2017-01-27 14:08:17","DisclosedNative",0
"77","@voguemagazine: Everything you need to know about the #Oscars nominations. https://t.co/fwXjCLAgFd","2017-01-27 14:08:13","yuka00209",24
"78","@AJEnglish: Iranian actress Taraneh Alidoosti boycotting Oscars over Trump visa ban https://t.co/kpPFoG https://t.co/kKqMmqTQl","2017-01-27 14:08:08","GolbargBashi",151
"79","@t_alidoosti Kudos! Your boycotting of #Oscars is a courageous selfless act! You are on the right side of history! #respect #TrumpProtest","2017-01-27 14:08:03","GolbargBashi",0
"80","@BreitbartNews: that
will
show
him https://t.co/aDlJFFNUc","2017-01-27 14:07:49","Moorestweet",101
"81","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:07:34","laurmalb",1962
"82","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:07:26","yann_drn",1962
"83","The Oscars almost never nominate horror flicks. Here's why they should.- CNET - https://t.co/RvxvgBC","2017-01-27 14:07:16","mancavesupplyco",0
"84","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:07:16","n_zoba86",3835
"85","Taraneh Alidoosti boycotting Oscars over Trump visa ban @AJENewshttps://t.co/jQsDgvRb","2017-01-27 14:07:03","Cleon",0
"86","@qsteph: Hollywood loves to bash Donald Trump but they sure do love embracing scumbags like Mel Gibson and Casey Affleck #Oscars","2017-01-27 14:06:49","adarajulia",18
"87","Oscars look good, only snub imo was the Musical Score for @SwissArmyMan by @ManchesterOrch. My fav movie of the year and best OST in years.","2017-01-27 14:06:40","INVICTUSStream",0
"88","@twittrpoll: #OscarNoms Poll:
Are you willing to boycott Hollywood by not going to the movies?

#Oscars #Nominations","2017-01-27 14:06:31","twitt3rpoll",347
"89","@xAwesome: ^Here Is The Full List Of Nominees For TheOscars https://t.co/HFQHlck","2017-01-27 14:06:27","alhajikolom",1
"90","@stonenobrian: THE OSCARS TRAILER JUST SAVED MY LIFEhttps://t.co/kymCHsZr","2017-01-27 14:06:20","Ladyspades_",92
"91","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:06:20","RyanOquiza",1962
"92","Aquí tenéis la reseña de #Lion, nominada aOscars. Le hemos dado <ed><U+A><U+BC><ed><U+BC><U+F>, ¿queréis saber por qué?… https://t.co/jpvzIhAsG","2017-01-27 14:06:17","LetrasYCamaras",0
"93","The Redemption Narrative in theOscar Nominations https://t.co/FWhgewpPp
The insightful @caraNYT","2017-01-27 14:06:17","MDSCInitiative",0
"94","Nominaciones a los #Oscars https://t.co/yQvFaKpx","2017-01-27 14:06:15","Ester_Anaya",0
"95","@IngrahamAngle: GOOD NEWS KEEPS ROLLING IN: Iranian Film Actress Will Boycott Oscars Over Trump’s Visa Banhttps://t.co/DytqLXRw","2017-01-27 14:06:12","halsell00",1389
"96","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:06:06","MattMartorello",7
"97","@WesternAffairs: https://t.co/qxVRgHxwb","2017-01-27 14:06:04","amshakir",1
"98","@ClancyReports: The Oscars should consider adding a category for best acting in a fake sports dive! https://t.co/GdeKDt","2017-01-27 14:06:03","Howna",2
"99","@WorldOfWonder: Constance Wu Clocks The Oscars For Casey Affleck Nomination:
https://t.co/lMJTWKiaX https://t.co/rimdOhL","2017-01-27 14:06:01","SigelSebella",1
"100","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:05:59","myles_hoglund",1962
"101","@charlesvarr ALL THE OSCARS.","2017-01-27 14:05:53","mollsabeth",0
"102","Only one month left. Here's the winner list #Oscars @TheAcademy #predictions

 https://t.co/hyFpOSKmne via @wochamovie","2017-01-27 14:05:51","wochamovie",0
"103","Are superheroes and sequels corrupting Pixar's soul? https://t.co/isJnfO","2017-01-27 14:05:49","dailybunchLA",0
"104","@le_Parisien: En colère contre Trump, l'actrice iranienne Taraneh Alidousti boycotte les Oscars https://t.co/VxMKEiCp","2017-01-27 14:05:41","jess95400",23
"105","@guardian: Iranian Oscar contender: I'll boycott awards over Trump's 'racist' visa ban https://t.co/TgVQAOuFlf","2017-01-27 14:05:41","soccercanales",72
"106","ABC News has a piece on RFR's interview with Carrie Fisher and her request for an Oscars tribute. https://t.co/XmqCtgmNnQ","2017-01-27 14:05:38","RebelForceRadio",2
"107","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:05:23","degyangs",3835
"108","@ShowDana: Congratulations to @HiddenFigures @octaviaspencer for the #AcademyAwards nominations! https://t.co/ciVaCnDUL","2017-01-27 14:05:19","LeafNewman",4
"109","@piersmorgan @AttitudeMag @wordsbyhadley that's called the Oscars","2017-01-27 14:05:18","insurancemanpl",0
"110","Taraneh Alidoosti (Trgovski potnik, r. Asgar Farhadi) pove zakaj se ne bo udeležila podelitve oskarjev. https://t.co/VIbxwqih","2017-01-27 14:05:17","Kino_Domzale",0
"111","Profesor y alumnos de #Moonlight honrados por nominaciones a los #Oscar (Video)https://t.co/kPMCakUb https://t.co/biLMaw","2017-01-27 14:05:13","MiamiDiario",0
"112","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:05:09","TheJimeister",3835
"113","@verge: Are superheroes and sequels corrupting Pixar's soul? https://t.co/YUtDJSnWYP https://t.co/IGimhNpW","2017-01-27 14:05:09","yassraulia",16
"114","The Oscars almost never nominate horror flicks. Here's why they should. - CNET https://t.co/pflnmqeIK","2017-01-27 14:05:07","Khaztech",0
"115","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:04:50","GolbargBashi",3835
"116","@afptehran: Iran actress to boycott Oscars over 'racist' Trump visa ban 
https://t.co/AXMxadwF
@AFP #taranehalidoosti https://t.co/l…","2017-01-27 14:04:50","Ieshan_W",167
"117","Actress #TaranehAlidoosti boycotts attending #Oscars in response to #Trump #Iran visa policy.Thoughts:Come use the podium like #MerylStreep","2017-01-27 14:04:45","tarakangarlou",0
"118","@TheAcademy: Congrats to our Animated Feature nominees! #Oscars #OscarNoms https://t.co/IuymCgrC","2017-01-27 14:04:43","A_Sonja_Lentsch",5477
"119","@THR: From reality show contestant to Oscar nominee: A look back at Emma Stone's first gig https://t.co/UlnGWbNgV https://t.co/gdXEAZOS…","2017-01-27 14:04:39","byebritt4",11
"120","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:04:35","cami_giaco",1962
"121","The Oscars almost never nominate horror flicks. Here's why they should. - CNET https://t.co/KOoWQTxQ","2017-01-27 14:04:34","Frostbite_UK",0
"122","Ojo a los estrenos del fin de semana: #shyamalan, Ang Lee, Ben Affleck, Sean Penn, una favorita de los #Oscars…… https://t.co/HSvqbkyCq","2017-01-27 14:04:31","SamidArrap",0
"123","@ThomasPKennedy: Everyday another Hollywood elite personally attacks @POTUS Trump, our @FLOTUS Melania Trump or their son. 
Please BOYC…","2017-01-27 14:04:25","JuneN48",283
"124","@LucasFe: AMERICAN MADE 
#TomCruise #Americanmade #ComingSoon #making #TomCruise #Americanmade #ComingSoon #making off #trailer…","2017-01-27 14:04:24","zeynepsudeagack",3
"125","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:04:20","brkeback",1962
"126","Oscar Nominations: Fun Facts, Stats and Firsts Galore https://t.co/LLFpOUAfG #Oscars #Nominations #FunFacts #Stats","2017-01-27 14:04:19","StregaGranger",0
"127","@tolkienianjedi: goodnight i hope harrison ford sings during carrie fisher's oscars tribute https://t.co/jxwAXzg","2017-01-27 14:04:19","beyvader",140
"128","@JohanJaveus: My animated film about negative interest may not win any Oscars but it's well worth a watch. It's onlyseconds long. En…","2017-01-27 14:04:19","NicklasRehnby",11
"129","The Oscars almost never nominate horror flicks. Here's why they should. - CNET https://t.co/LAtCOwbu","2017-01-27 14:04:09","TheApple_FanBoy",0
"130","Without ""Fences"" playwright August, it's inconceivable that the film ""Moonlight"" ever would have been made:… https://t.co/UYnybBSEUG","2017-01-27 14:04:06","ChiTribEnt",1
"131","What is the #EU doing? Well, how aboutOscar-nominated #movies? Funded through #CreativEurope #Media programme! https://t.co/fDLVojsY","2017-01-27 14:04:01","bb_europe",0
"132","@t_alidoosti: Trump's visa ban for Iranians is racist. Whether this will include a cultural event or not,I won't attend the #AcademyAwar…","2017-01-27 14:03:53","NaeemRiaz1",3835
"133","The Oscars almost never nominate horror flicks. Here's why they should. - CNET https://t.co/mrzUYgpqb","2017-01-27 14:03:51","FrostbiteTrends",0
"134","@Ashley_Says: @blackvoices Kimberly Steward produced a film that is nominated for six Oscars https://t.co/XuCDlzr","2017-01-27 14:03:45","idkouly",222
"135","@GraceLimWeather Good morning!!Yes that dress is perfect for the Oscars! you would win best dressed for Sure! enjoy your weekend Ms Grace!","2017-01-27 14:03:44","Dom50293888",0
"136","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:03:42","ElYunqueWonder",7
"137","@TheAcademy: The #Oscars trailer is here! https://t.co/dOOzSFtfZc","2017-01-27 14:03:30","AugustsMemories",1962
"138","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:03:29","Only1OldSanJuan",7
"139","@Ashley_Says: @blackvoices Kimberly Steward produced a film that is nominated for six Oscars https://t.co/XuCDlzr","2017-01-27 14:03:28","DaddyDeli",222
"140","Iranian movie star boycotts Oscars over Trump plan for visa ban https://t.co/KIE","2017-01-27 14:03:24","AHA1R",0
"141","Black actors make Oscars nomination list  https://t.co/wrbJACuZP https://t.co/vvpHvKmgIb","2017-01-27 14:03:19","adelovecom",0
"142","#ENDORSEMENTS FOR #AwardWinning #Author - #novel #entertainment #Oscars #JenniferLawrence See #Amazon… https://t.co/CjAbnij","2017-01-27 14:03:17","Karlyle_Tomms",0
"143","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:03:16","VisitVieques",7
"144","@ABCNetwork: Dreams are what movies are made of. #Oscars https://t.co/VVADihIqV","2017-01-27 14:03:16","lorycostagliola",14
"145","The Oscars almost never nominate horror flicks. Here's why they should.- CNET [ss]rosFlmgdRQneDGDKYZYfVzauHkxQSZp_/RSDucBsa...","2017-01-27 14:03:14","negroloinci",0
"146","The Oscars almost never nominate horror flicks. Here's why they should. - CNET https://t.co/QnVYTireNW","2017-01-27 14:03:13","whateverusay",0
"147","@LifeZette: How about ditching the usual liberal Academy Awards hosts for once? https://t.co/nGQIDuNBm","2017-01-27 14:03:10","beefman46",22
"148","@BreitbartNews: that
will
show
him https://t.co/aDlJFFNUc","2017-01-27 14:03:09","Schwachkorb_7",101
"149","Oscars : See the Full List of Nominations! https://t.co/UrXNsmTCb","2017-01-27 14:03:08","AKayFlojo",0
"150","@jimstlouisgolf: #Oscars this is only a show about self obsorbed out of touch actors. #boycottOscar","2017-01-27 14:03:06","moongopie",21
"151","@nytimes: Why the star of Iran's Oscar-nominated film is boycotting the Academy Awards https://t.co/gXLKgLcsfR","2017-01-27 14:03:05","MaryamGh",186
"152","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:03:05","TravelPUR",7
"153","@MiddleEastEye: Iranian film star boycotts Oscars to protest Trump's 'racist' travel ban https://t.co/XjGeteHNGZ https://t.co/CsZBQcYP","2017-01-27 14:03:01","BHPanimalwatch",14
"154","@stonenobrian: THE OSCARS TRAILER JUST SAVED MY LIFEhttps://t.co/kymCHsZr","2017-01-27 14:02:55","sciugher",92
"155","Are superheroes and sequels corrupting Pixar's soul? https://t.co/pIIbILSO","2017-01-27 14:02:54","digiconsultant",0
"156","@PuertoRicoPUR: Listen to @Lin_Manuel Miranda’s <ed><U+A><U+BC><ed><U+B><U+B><ed><U+A><U+BC><ed><U+B><U+B> Academy Award Nominated Song How Far I’ll Go from Moana <ed><U+A><U+BD><ed><U+B><U+><ed><U+A><U+BC><ed><U+BF><U+BD> https://t.co/IJYOWXkGq #O…","2017-01-27 14:02:44","sanjuan2023",7
